# Radio PRO 2021.1.0
# © 2015-2021 by crosstales LLC (https://www.crosstales.com)
#
# List of all radio stations from 'RadioProviderUser'
# Created: 16.01.2021
# Name;Url;DataFormat;AudioFormat;Station (optional);Genres (optional);Bitrate (in kbit/s, optional);Rating (0-5, optional);Description (optional);ExcludeCodec (optional);ChunkSize (in KB, optional);BufferSize (in KB, optional);IconUrl (optional);City (optional);Country (optional);Language (optional)
Mission Control: Celebrating NASA and space explorers everywhere. [SomaFM];http://ice1.somafm.com/missioncontrol-128-mp3;Stream;MP3;http://somafm.com;space electronica;128;3.0;Celebrating NASA and Space Explorers everywhere.;MP3_NLayer;16;64;http://somafm.com/img3/missioncontrol-400.jpg;San Francisco;US;English
SF 10-33: Ambient music mixed with the sounds of San Francisco public safety radio traffic. [SomaFM];http://ice1.somafm.com/sf1033-128-mp3;Stream;MP3;http://somafm.com;scanner ambient;128;3.0;Live fire/police scanner audio from San Francisco processed and mixed with ambient and experimental music. A surreal audio zeitgeist of the city.;MP3_NLayer;16;64;http://somafm.com/sf1033/;San Francisco;US;English
Sonic Universe: Nu Jazz plus avant-garde Euro Jazz: Transcending the boundaries of jazz with experimental takes on tradition. [SomaFM];http://ice1.somafm.com/sonicuniverse-192-mp3;Stream;MP3;http://somafm.com;experimental nujazz;256;4.0;Transcending the world of jazz with eclectic, avant-garde takes on tradition.;None;16;64;http://somafm.com/img3/sonicuniverse-400.jpg;San Francisco;US;English
Metal Detector: From black to doom, prog to sludge, thrash to post, stoner to crossover, punk to industrial. [SomaFM];http://ice1.somafm.com/metal-128-mp3;Stream;MP3;http://somafm.com;metal;128;3.0;From black to doom, prog to sludge, thrash to post, stoner to crossover, punk to industrial.;MP3_NLayer;16;64;http://somafm.com/img3/metal-400.png;San Francisco;US;English
Covers: Just covers. Songs you know by artists you don't. [SomaFM];http://ice1.somafm.com/covers-128-mp3;Stream;MP3;http://somafm.com;covers eclectic;128;4.0;Just covers. Songs you know by artists you don't. We've got you covered.;MP3_NLayer;16;64;http://somafm.com/img3/covers-400.jpg;San Francisco;US;English
SomaFM's Black Rock FM: From the Playa to the world, where every Saturday night is Burn Night [SomaFM];http://ice1.somafm.com/brfm-128-mp3;Stream;MP3;http://somafm.com/brfm/;desert electronic;128;3.0;From the Playa to the world, back for the 2015 Burning Man festival.;MP3_NLayer;16;64;http://somafm.com/img3/brfm-400.jpg;San Francisco;US;English
SomaFM Live Special Event Stream [SomaFM];http://ice1.somafm.com/live-128-mp3;Stream;MP3;http://somafm.com/live;live event;128;3.0;From the Playa to the world, back for the 2015 Burning Man festival.;MP3_NLayer;16;64;http://somafm.com/img3/live-400.jpg;San Francisco;US;English
The Christmas Lounge. Chilled holiday grooves and classic winter lounge tracks. [SomaFM];http://ice1.somafm.com/christmas-256-mp3;Stream;MP3;http://somafm.com;christmas holiday xmas;256;3.0;Chilled holiday grooves and classic winter lounge tracks. (Kid and Parent safe!);None;16;64;;San Francisco;US;English
Xmas in Frisko: SomaFM's eclectic holiday mix. Not for the easily offended. [SomaFM];http://ice1.somafm.com/xmasinfrisko-128-mp3;Stream;MP3;http://SomaFM.com/;christmas holiday;128;3.0;SomaFM's wacky and eclectic holiday mix. Not for the easily offended.;MP3_NLayer;16;64;;San Francisco;US;English
Christmas Rocks! Have your self an indie/alternative holiday season! [SomaFM];http://ice1.somafm.com/xmasrocks-128-mp3;Stream;MP3;http://somafm.com;christmas holiday;128;3.0;Have your self an indie/alternative holiday season!;MP3_NLayer;16;64;;San Francisco;US;English
Jolly Ol' Soul: A vintage soul holiday broadcast. [SomaFM];http://ice1.somafm.com/jollysoul-128-mp3;Stream;MP3;http://somafm.com/jollysoul/;christmas holiday soul;128;3.0;Where we cut right to the soul of the season!;MP3_NLayer;16;64;;San Francisco;US;English
AlohaJoe;http://warpradio.com:8000/stream/9/;Stream;MP3;http://www.alohajoe.com;jazz, hawaiian and pacific;128;3.0;Home of America's Premier Hawaiian Radio Station;None;16;64;;;US;English
alpenradio;http://stream.dar.fm/153933;Stream;MP3;laut.fm/alpenradio;schlager, folk, pop, rock;128;2.0;Das Alpenradio bietet beste Musik aus Bayerrn und Österreich.Alpinrock,Alpinhits,Volkstümliche Hits und Schlager -Das beste Radio aus Niederbayern Sendeleitung und Moderation: Heinrich Stephan laut.fm/donauhits--laut.fm/bayernradio-laut.fm/partymusikradio.;None;16;64;https://assets.laut.fm/b3f74d1ba14c9ac2aeebf5722d907789;;;German
Ambi Nature Radio (Sleep, Relaxation;http://94.23.252.14:8067/;Stream;MP3;http://www.ambinature.xyz;new age, ambient, easy listening;256;3.0;Ambi Nature Radio (Sleep, Relaxation & Meditation) is a station with the focus on providing natural relaxation sounds.We don’t play any music, just let your mind be free while listening to the most relaxing nature sounds of the earth.;None;16;64;https://www.ambinatureradio.com/wp-content/uploads/2016/07/ambinatureradio-1.jpg;;;
Energy 00s;https://energy00s.ice.infomaniak.ch/energy00s-high.mp3;Stream;MP3;http://energy00s.ice.infomaniak.ch/energy00s-high.mp3;00s;128;4.0;;None;16;64;;Zürich;CH;German
Energy 80s;https://energy80s.ice.infomaniak.ch/energy80s-high.mp3;Stream;MP3;http://energy80s.ice.infomaniak.ch/energy80s-high.mp3;80s;128;4.0;;None;16;64;;Zürich;CH;German
Energy 90s;https://energy90s.ice.infomaniak.ch/energy90s-high.mp3;Stream;MP3;http://energy90s.ice.infomaniak.ch/energy90s-high.mp3;90s;128;4.0;;None;16;64;;Zürich;CH;German
Energy Charts;https://energycharts.ice.infomaniak.ch/energycharts-high.mp3;Stream;MP3;http://energycharts.ice.infomaniak.ch/energycharts-high.mp3;charts;128;3.0;;None;16;64;;Zürich;CH;German
Energy Dance;https://energydance.ice.infomaniak.ch/energydance-high.mp3;Stream;MP3;http://energydance.ice.infomaniak.ch/energydance-high.mp3;music, world europe, dance;128;4.0;ENERGY Dance Internet Only;None;16;64;https://cdn.energy.ch/energych-broadcast/covers/channels/90x90-c/logo_primary_dance_1493850484.png;Zürich;CH;English
Energy Rock;https://energyrock.ice.infomaniak.ch/energyrock-high.mp3;Stream;MP3;http://energyrock.ice.infomaniak.ch/energyrock-high.mp3;rock;128;3.0;;None;16;64;;Zürich;CH;German
Energy Soundtrack;https://energysoundtrack.ice.infomaniak.ch/energysoundtrack-high.mp3;Stream;MP3;http://energysoundtrack.ice.infomaniak.ch/energysoundtrack-high.mp3;soundtrack;128;4.0;;None;16;64;;Zürich;CH;German
Energy Swiss;https://energyswiss.ice.infomaniak.ch/energyswiss-high.mp3;Stream;MP3;http://energyswiss.ice.infomaniak.ch/energyswiss-high.mp3;swiss;128;3.0;;None;16;64;;Zürich;CH;German
Energy User Charts;https://energyusercharts.ice.infomaniak.ch/energyusercharts-high.mp3;Stream;MP3;http://energyusercharts.ice.infomaniak.ch/energyusercharts-high.mp3;charts;128;3.0;;None;16;64;;Zürich;CH;German
Energy 10s;https://energy10s.ice.infomaniak.ch/energy10s-high.mp3;Stream;MP3;http://energy10s.ice.infomaniak.ch/energy10s-high.mp3;10s;128;4.0;;None;16;64;;Zürich;CH;German
Energy Girl;https://energygirl.ice.infomaniak.ch/energygirl-high.mp3;Stream;MP3;http://energygirl.ice.infomaniak.ch/energygirl-high.mp3;girls;128;4.0;;None;16;64;;Zürich;CH;German
Energy Hot;https://energyhot.ice.infomaniak.ch/energyhot-high.mp3;Stream;MP3;http://energyhot.ice.infomaniak.ch/energyhot-high.mp3;music, world europe, top 40;128;4.0;ENERGY Hot Internet Only;None;16;64;https://www.streamitter.com/images/logos/DT7ET5.png;Zürich;CH;German
Energy Summer;https://energysummer.ice.infomaniak.ch/energysummer-high.mp3;Stream;MP3;http://energysummer.ice.infomaniak.ch/energysummer-high.mp3;party;128;4.0;;None;16;64;;Zürich;CH;German
Energy Love;https://energylove.ice.infomaniak.ch/energylove-high.mp3;Stream;MP3;http://energylove.ice.infomaniak.ch/energylove-high.mp3;love;128;4.0;;None;16;64;;Zürich;CH;German
Energy Work Out;https://energyworkout.ice.infomaniak.ch/energyworkout-high.mp3;Stream;MP3;http://energyworkout.ice.infomaniak.ch/energyworkout-high.mp3;fitness, sport;128;4.0;;None;16;64;;Zürich;CH;German
Energy Latin;https://energylatin.ice.infomaniak.ch/energylatin-high.mp3;Stream;MP3;http://energylatin.ice.infomaniak.ch/energylatin-high.mp3;latin;128;3.0;;None;16;64;;Zürich;CH;German
Energy German;https://energygerman.ice.infomaniak.ch/energygerman-high.mp3;Stream;MP3;http://energygerman.ice.infomaniak.ch/energygerman-high.mp3;german;128;3.0;;None;16;64;;Zürich;CH;German
Energy Deep;https://energydeep.ice.infomaniak.ch/energydeep-high.mp3;Stream;MP3;http://energydeep.ice.infomaniak.ch/energydeep-high.mp3;relax;128;4.0;;None;16;64;;Zürich;CH;German
Energy Mix;https://energymix.ice.infomaniak.ch/energymix-high.mp3;Stream;MP3;http://energymix.ice.infomaniak.ch/energymix-high.mp3;pop, mix;128;4.0;;None;16;64;;Zürich;CH;German
Energy Folk;https://energyfolk.ice.infomaniak.ch/energyfolk-high.mp3;Stream;MP3;http://energyfolk.ice.infomaniak.ch/energyfolk-high.mp3;folk;96;2.0;;None;16;64;;Zürich;CH;German
Energy Italy;https://energyitaly.ice.infomaniak.ch/energyitaly-high.mp3;Stream;MP3;http://energyitaly.ice.infomaniak.ch/energyitaly-high.mp3;italian;128;3.0;;None;16;64;https://us0-cdn.onlineradiobox.com/img/logo/3/48813.v1.png;Zürich;CH;German
Energy Balkan Hits;https://energybalkanhits.ice.infomaniak.ch/energybalkanhits-high.mp3;Stream;MP3;http://energybalkanhits.ice.infomaniak.ch/energybalkanhits-high.mp3;balkan;128;3.0;;None;16;64;;Zürich;CH;German
Energy Air;https://energyair.ice.infomaniak.ch/energyair-high.mp3;Stream;MP3;http://energyair.ice.infomaniak.ch/energyair-high.mp3;live, concert;128;4.0;;None;16;64;;Zürich;CH;German
Energy Star Night;https://energystarnight.ice.infomaniak.ch/energystarnight-high.mp3;Stream;MP3;http://energystarnight.ice.infomaniak.ch;live, concert;128;4.0;;None;16;64;;Zürich;CH;German
